city,timestamp,temperature,season
New York,2010-01-01,-1.6191916464972158,winter
New York,2010-01-02,-1.439152152838531,winter
New York,2010-01-03,0.08459087573624377,winter
New York,2010-01-04,3.5105080315744033,winter
New York,2010-01-05,1.2937798044690414,winter
New York,2010-01-06,-6.182913044957004,winter
New York,2010-01-07,0.7011845612000023,winter
New York,2010-01-08,-7.89377408157187,winter
New York,2010-01-09,-9.668303850849952,winter
New York,2010-01-10,-5.706575724761147,winter
New York,2010-01-11,-3.8065182500299963,winter
New York,2010-01-12,3.701570131462619,winter
New York,2010-01-13,5.995590393162064,winter
New York,2010-01-14,5.350575234869909,winter
New York,2010-01-15,4.560800835517594,winter
New York,2010-01-16,-2.107977044103496,winter
New York,2010-01-17,-6.656949732006018,winter
New York,2010-01-18,5.571739856576149,winter
New York,2010-01-19,-1.3154491563588784,winter
New York,2010-01-20,-6.009193605934415,winter
New York,2010-01-21,9.828455333185527,winter
New York,2010-01-22,-6.833661254826779,winter
New York,2010-01-23,0.6837533319516136,winter
New York,2010-01-24,-3.779496819640964,winter
New York,2010-01-25,1.4690079103171443,winter
New York,2010-01-26,-3.5864657572010303,winter
New York,2010-01-27,0.3892623275503023,winter
New York,2010-01-28,2.1439958776523866,winter
New York,2010-01-29,7.6917790122524385,winter
New York,2010-01-30,2.7440470519143134,winter
New York,2010-01-31,-3.9099824627933524,winter
New York,2010-02-01,-2.6011718022325683,winter
New York,2010-02-02,3.7591178465859096,winter
New York,2010-02-03,1.4512362769098028,winter
New York,2010-02-04,0.07270097011115974,winter
New York,2010-02-05,-0.3145417552616494,winter
New York,2010-02-06,-0.7250471555562088,winter
New York,2010-02-07,-6.580548356172407,winter
New York,2010-02-08,11.973032184310304,winter
New York,2010-02-09,-2.1611146665422707,winter
New York,2010-02-10,9.903016718504649,winter
New York,2010-02-11,-1.3642446534256742,winter
New York,2010-02-12,-2.6508109387544336,winter
New York,2010-02-13,2.911867444564156,winter
New York,2010-02-14,4.092216133191861,winter
